"","PERMNO","YEAR","RET","ret"
"587",10051,1995,-0.0833330076999879,-0.0833330076999879
"588",10051,1996,1.36362552214979,1.36362552214979
"589",10051,1997,0.980769361336535,0.980769361336535
"590",10051,1998,0.74757507455731,0.74757507455731
"591",10051,1999,-0.555554972017914,-0.555554972017914
"592",10051,2000,-0.86874906994292,-0.86874906994292
"593",10051,2001,3.57142097877948,3.57142097877948
"594",10051,2002,1.19166838311581,1.19166838311581
"595",10051,2003,0.184038079287457,0.184038079287457
"596",10051,2004,-0.479767859945531,-0.479767859945531
"597",10051,2005,-0.295061195428912,-0.295061195428912
"598",10051,2006,0.318741224069784,0.318741224069784
"599",10051,2007,0.462156355650783,0.462156355650783
"600",10051,2008,0.317888947680051,0.317888947680051
"601",10051,2009,-0.0468733836614915,-0.0468733836614915
"602",10051,2010,0.53217586978818,0.53217586978818
"603",10051,2011,-0.117980904849422,-0.117980904849422
"604",10051,2012,0.463871477471503,0.463871477471503
"605",10051,2013,0.437874252926422,0.437874252926422
"606",10051,2014,-0.443310666103713,-0.443310666103713
"607",10051,2015,-0.248861312893511,-0.248861312893511
"608",10051,2016,-0.217021079422033,-0.217021079422033
"609",10052,1986,0.178565920740123,0.178565920740123
"610",10052,1987,-0.242421053918734,-0.242421053918734
"611",10052,1988,0.459999127820786,0.459999127820786
"612",10053,1986,-0.083333925605542,-0.083333925605542
"613",10053,1987,-0.309090637452696,-0.309090637452696
"614",10053,1988,0.0789485732930875,0.0789485732930875
"615",10053,1989,-0.439023583727935,-0.439023583727935
"616",10053,1990,-0.130434812008486,-0.130434812008486
"617",10054,1986,-0.562499498053631,-0.562499498053631
"618",10054,1987,0,0
"619",10055,1986,-0.833333514492456,-0.833333514492456
"620",10055,1987,-0.250000025900437,-0.250000025900437
"621",10055,1988,0.666675809544042,0.666675809544042
"622",10055,1989,-0.599997994281469,-0.599997994281469
"623",10055,1990,0.919997324612998,0.919997324612998
"624",10055,1991,0.041676998901129,0.041676998901129
"625",10055,1992,-0.760001932806344,-0.760001932806344
"626",10055,1993,-0.375001811305728,-0.375001811305728
"627",10055,1994,-0.833333431513221,-0.833333431513221
"628",10055,1995,-0.800000496666807,-0.800000496666807
"629",10056,1986,-0.179896476434459,-0.179896476434459
"630",10056,1987,0.330768076860869,0.330768076860869
"631",10056,1988,-0.136645340662806,-0.136645340662806
"632",10056,1989,-0.321821734543636,-0.321821734543636
"633",10056,1990,-0.71061586397065,-0.71061586397065
"634",10056,1991,0.806453118512398,0.806453118512398
"635",10056,1992,-0.0535683531077458,-0.0535683531077458
"636",10056,1993,0.283012628176668,0.283012628176668
"637",10056,1994,0.0776213714177301,0.0776213714177301
"638",10056,1995,0.563856859134182,0.563856859134182
"639",10056,1996,0.433275045243525,0.433275045243525
"640",10056,1997,0.365797795404263,0.365797795404263
"641",10056,1998,-0.0628094542597267,-0.0628094542597267
"642",10056,1999,0.13253821753683,0.13253821753683
"643",10056,2000,-0.156213576126666,-0.156213576126666
"644",10056,2001,0.434668261796122,0.434668261796122
"645",10056,2002,0.398247787315917,0.398247787315917
"646",10056,2003,0.494180224239342,0.494180224239342
"647",10056,2004,0.111558960810918,0.111558960810918
"648",10056,2005,-0.0115128041030192,-0.0115128041030192
"649",10056,2006,0.383160882019384,0.383160882019384
"650",10057,1973,-0.219668788255984,-0.219668788255984
"651",10057,1974,-0.354797883496213,-0.354797883496213
"652",10057,1975,0.133878318458306,0.133878318458306
"653",10057,1976,0.274183011294004,0.274183011294004
"654",10057,1977,0.3893864855453,0.3893864855453
"655",10057,1978,0.563351728476555,0.563351728476555
"656",10057,1979,0.47935485030725,0.47935485030725
"657",10057,1980,0.0308278561968311,0.0308278561968311
"658",10057,1981,-0.120024841461835,-0.120024841461835
"659",10057,1982,-0.0802815194694722,-0.0802815194694722
"660",10057,1983,0.440101644611203,0.440101644611203
"661",10057,1984,-0.473459204790198,-0.473459204790198
"662",10057,1985,-0.0121579043144933,-0.0121579043144933
"663",10057,1986,-0.141438506314014,-0.141438506314014
"664",10057,1987,0.207525566026726,0.207525566026726
"665",10057,1988,-0.186512003258787,-0.186512003258787
"666",10057,1989,0.189004587655184,0.189004587655184
"667",10057,1990,-0.539979322787863,-0.539979322787863
"668",10057,1991,0.630676242591672,0.630676242591672
"669",10057,1992,0.195911343210669,0.195911343210669
"670",10057,1993,0.201789831907439,0.201789831907439
"671",10057,1994,0.145509745589323,0.145509745589323
"672",10057,1995,0.827947126081363,0.827947126081363
"673",10057,1996,0.618041017322159,0.618041017322159
"674",10058,1973,-0.764916905302502,-0.764916905302502
"675",10058,1974,-0.499999306530849,-0.499999306530849
"676",10058,1975,0,0
"677",10058,1976,1.27272465398226,1.27272465398226
"678",10058,1977,0.159998245001191,0.159998245001191
"679",10058,1978,-0.448276080161736,-0.448276080161736
"680",10058,1979,0.249999739087139,0.249999739087139
"681",10058,1980,-0.1000004745592,-0.1000004745592
"682",10058,1981,-0.583333345128479,-0.583333345128479
"683",10058,1982,-0.133332649999992,-0.133332649999992
"684",10058,1983,-2.13186629527407e-06,-2.13186629527407e-06
"685",10058,1984,-0.153845765567746,-0.153845765567746
"686",10059,1986,0.0470361262828263,0.0470361262828263
"687",10059,1987,0.242993646063641,0.242993646063641
"688",10059,1988,-0.346844626518448,-0.346844626518448
"689",10059,1989,1.09528829113253,1.09528829113253
"690",10059,1990,-0.377494246579568,-0.377494246579568
"691",10059,1991,0.0662614357085165,0.0662614357085165
"692",10059,1992,-0.348965226775504,-0.348965226775504
"693",10059,1993,3.60169715788452,3.60169715788452
"694",10059,1994,-0.374997850996268,-0.374997850996268
"695",10060,1986,-0.0192001354202419,-0.0192001354202419
"696",10060,1987,0.322701060113401,0.322701060113401
"697",10060,1988,-0.348230227531308,-0.348230227531308
"698",10060,1989,1.06036847612326,1.06036847612326
"699",10060,1990,-0.327828951780792,-0.327828951780792
"700",10060,1991,0.0812747327246246,0.0812747327246246
"701",10060,1992,-0.348267614814832,-0.348267614814832
"702",10060,1993,2.80744030039124,2.80744030039124
"703",10060,1994,-0.0346977303727232,-0.0346977303727232
"704",10060,1995,-0.511211546257993,-0.511211546257993
"705",10060,1996,0.0244792740670099,0.0244792740670099
"706",10060,1997,-0.314988774651477,-0.314988774651477
"707",10060,1998,0.0440028048455297,0.0440028048455297
"708",10061,1986,-0.284771666525473,-0.284771666525473
"709",10061,1987,0.384422088250477,0.384422088250477
"710",10061,1988,-0.121166014941363,-0.121166014941363
"711",10061,1989,-0.758064008046285,-0.758064008046285
"712",10061,1990,-0.96666661036371,-0.96666661036371
"713",10062,1986,-0.390244236231881,-0.390244236231881
"714",10062,1987,0.379996861879763,0.379996861879763
"715",10062,1988,-0.101445800629985,-0.101445800629985
"716",10062,1989,0.500004403559498,0.500004403559498
"717",10062,1990,-0.65591559452005,-0.65591559452005
"718",10062,1991,-0.437499226752884,-0.437499226752884
"719",10062,1992,1.2222183909011,1.2222183909011
"720",10062,1993,-0.324997160035516,-0.324997160035516
"721",10062,1994,-0.0185211480871381,-0.0185211480871381
"722",10062,1995,-0.0943414064330315,-0.0943414064330315
"723",10062,1996,-0.104169706250998,-0.104169706250998
"724",10062,1997,0.116277492221291,0.116277492221291
"725",10062,1998,-0.755709733012317,-0.755709733012317
"726",10062,1999,-0.743902800654973,-0.743902800654973
